Date,Month,CornPrice,Year,CPI,AdjPrice
2007-03-01,3,3.34,2007,205.4,5.100879763063939
2007-04-01,4,3.39,2007,206.7,5.144678979196904
2007-05-01,5,3.53,2007,207.9,5.3262221340388
2007-06-01,6,3.44,2007,208.4,5.177973064619322
2007-07-01,7,3.29,2007,208.3,4.954566786685869
2007-08-01,8,3.26,2007,207.9,4.918834038800704
2007-09-01,9,3.23,2007,208.5,4.8595440367705836
2007-10-01,10,3.26,2007,208.9,4.895287681506302
2007-11-01,11,3.43,2007,210.2,5.118709316523946
2007-12-01,12,3.74,2007,210,5.586648746031746
2008-01-01,1,3.97,2008,211.1,5.899311550607927
2008-02-01,2,4.5,2008,211.7,6.667925129900802
2008-03-01,3,4.61,2008,213.5,6.773327970335675
2008-04-01,4,4.98,2008,214.8,7.272674068901303
2008-05-01,5,5.07,2008,216.6,7.34257795475531
2008-06-01,6,5.4,2008,218.8,7.741863345521024
2008-07-01,7,5.26,2008,219.964,7.50124230934759
2008-08-01,8,5.34,2008,219.086,7.645848525236664
2008-09-01,9,5.16,2008,218.783,7.398355356677621
2008-10-01,10,4.48,2008,216.573,6.488925089153927
2008-11-01,11,4.35,2008,212.425,6.423662116040954
2008-12-01,12,4.21,2008,210.228,6.281893888222945
2009-01-01,1,4.44,2009,211.143,6.596375063345695
2009-02-01,2,3.96,2009,212.193,5.854141182791138
2009-03-01,3,3.98,2009,212.709,5.869434563966107
2009-04-01,4,3.93,2009,213.24,5.7812657803414
2009-05-01,5,4.06,2009,213.856,5.955300124071026
2009-06-01,6,4.04,2009,215.693,5.8754938114202435
2009-07-01,7,3.65,2009,215.351,5.316735198195813
2009-08-01,8,3.3,2009,215.834,4.796154220373063
2009-09-01,9,3.23,2009,215.969,4.691483183543317
2009-10-01,10,3.67,2009,216.177,5.325441736786676
2009-11-01,11,3.72,2009,216.33,5.394177691489853
2009-12-01,12,3.68,2009,215.949,5.345590424899706
2010-01-01,1,3.76,2010,216.687,5.443196930749576
2010-02-01,2,3.66,2010,216.741,5.2971109757729264
2010-03-01,3,3.61,2010,217.631,5.203379520074499
2010-04-01,4,3.46,2010,218.009,4.978525489008864
2010-05-01,5,3.52,2010,218.178,5.0609350774749675
2010-06-01,6,3.42,2010,217.965,4.921963663890991
2010-07-01,7,3.5,2010,218.011,5.036034496730288
2010-08-01,8,3.61,2010,218.312,5.187148156461089
2010-09-01,9,4.01,2010,218.439,5.75855145677588
2010-10-01,10,4.28,2010,218.711,6.138640519528815
2010-11-01,11,4.61,2010,218.803,6.609166792350501
2010-12-01,12,4.86,2010,219.179,6.955628641430064
2011-01-01,1,5.07,2011,220.223,7.221781489671833
2011-02-01,2,5.59,2011,221.309,7.92340383054161
2011-03-01,3,5.32,2011,223.467,7.467879343855393
2011-04-01,4,6.2,2011,224.906,8.647482800221722
2011-05-01,5,6.25,2011,225.964,8.676405127955485
2011-06-01,6,6.3,2011,225.722,8.75519289214166
2011-07-01,7,6.19,2011,225.922,8.59470914002768
2011-08-01,8,6.84,2011,226.545,9.471105608157318
2011-09-01,9,6.63,2011,226.889,9.166407207929868
2011-10-01,10,5.65,2011,226.421,7.827639257548254
2011-11-01,11,5.75,2011,226.23,7.972907181481973
2011-12-01,12,5.78,2011,225.672,8.034321744242382
2012-01-01,1,5.99,2012,226.655,8.290115425058643
2012-02-01,2,6.21,2012,227.663,8.556540390840848
2012-03-01,3,6.23,2012,229.392,8.519396629641255
2012-04-01,4,6.23,2012,230.085,8.493736800168055
2012-05-01,5,6.31,2012,229.815,8.612912726903524
2012-06-01,6,6.37,2012,229.478,8.707579237806383
2012-07-01,7,7.17,2012,229.104,9.817152625008728
2012-08-01,8,7.89,2012,230.379,10.743187942477395
2012-09-01,9,6.84,2012,231.407,9.272111993154915
2012-10-01,10,6.82,2012,231.317,9.248597566686984
2012-11-01,11,7.03,2012,230.221,9.578763441794333
2012-12-01,12,6.92,2012,229.601,9.454343520571195
2013-01-01,1,7.06,2013,230.28,9.617175453071622
2013-02-01,2,7.01,2013,232.166,9.471493335228528
2013-03-01,3,7.13,2013,232.773,9.608508640034138
2013-04-01,4,7.1,2013,232.531,9.57803783868244
2013-05-01,5,7.05,2013,232.945,9.493684238768807
2013-06-01,6,7.09,2013,233.504,9.524692631960622
2013-07-01,7,6.91,2013,233.596,9.2792249795944
2013-08-01,8,6.32,2013,233.877,8.476735320987812
2013-09-01,9,5.66,2013,234.149,7.58268793232799
2013-10-01,10,4.64,2013,233.546,6.232246266973815
2013-11-01,11,4.43,2013,233.069,5.962361067609448
2013-12-01,12,4.32,2013,233.049,5.814810447588275
2014-01-01,1,4.43,2014,233.916,5.94077160889664
2014-02-01,2,4.43,2014,234.781,5.91888411611956
2014-03-01,3,4.55,2014,236.293,6.04031516662223
2014-04-01,4,4.76,2014,237.072,6.298334879980202
2014-05-01,5,4.71,2014,237.9,6.210485098781
2014-06-01,6,4.49,2014,238.343,5.909394702872191
2014-07-01,7,4.06,2014,238.25,5.345547380202868
2014-08-01,8,3.61,2014,237.852,4.761013942844009
2014-09-01,9,3.51,2014,238.031,4.625648781041124
2014-10-01,10,3.62,2014,237.433,4.782627421911305
2014-11-01,11,3.63,2014,236.151,4.821874415098813
2014-12-01,12,3.79,2014,234.812,5.06311721008012
2015-01-01,1,3.86,2015,233.707,5.181012535639355
2015-02-01,2,3.8,2015,234.722,5.078422843477248
2015-03-01,3,3.83,2015,236.119,5.08823191554541
2015-04-01,4,3.74,2015,236.599,4.958584933438716
2015-05-01,5,3.61,2015,237.805,4.761954914040214
2015-06-01,6,3.58,2015,238.638,4.705897733526653
2015-07-01,7,3.78,2015,238.654,4.968463926856454
2015-08-01,8,3.67,2015,238.316,4.83072063282924
2015-09-01,9,3.57,2015,237.945,4.706420118094518
2015-10-01,10,3.58,2015,237.838,4.721726651474253
2015-11-01,11,3.53,2015,237.336,4.665628398838215
2015-12-01,12,3.53,2015,236.525,4.681625966247402
2016-01-01,1,3.55,2016,236.916,4.700380549786985
2016-02-01,2,3.48,2016,237.111,4.603907621325034
2016-03-01,3,3.46,2016,238.132,4.557822398221715
2016-04-01,4,3.52,2016,239.261,4.614979847669839
2016-05-01,5,3.6,2016,240.236,4.700710135033884
2016-06-01,6,3.75,2016,241.038,4.880280806345887
2016-07-01,7,3.55,2016,240.647,4.627505675671557
2016-08-01,8,3.08,2016,240.853,4.011416119652512
2016-09-01,9,3.08,2016,241.428,4.001862280541887
2016-10-01,10,3.3,2016,241.729,4.282370547183001
2016-11-01,11,3.2,2016,241.353,4.159071014931103
2016-12-01,12,3.27,2016,241.432,4.248660016070778
2017-01-01,1,3.34,2017,242.839,4.3144663885674595
2017-02-01,2,3.39,2017,243.603,4.365320398353058
2017-03-01,3,3.43,2017,243.801,4.413241530319127
2017-04-01,4,3.3,2017,244.524,4.2334214637417995
2017-05-01,5,3.39,2017,244.733,4.345164505808371
2017-06-01,6,3.35,2017,244.955,4.290002619528757
2017-07-01,7,3,2017,244.786,3.844445760786973
2017-08-01,8,3.19,2017,245.519,4.075722768231108
2017-09-01,9,3.21,2017,246.819,4.079674397027782
2017-10-01,10,3.23,2017,246.663,4.107689161595645
2017-11-01,11,3.14,2017,246.669,3.9931362946566717
2017-12-01,12,3.2,2017,246.524,4.071831816239663
2018-01-01,1,3.2,2018,247.867,4.049769701762101
2018-02-01,2,3.33,2018,248.991,4.19526735906117
2018-03-01,3,3.43,2018,249.554,4.3115025138179845
2018-04-01,4,3.52,2018,250.546,4.4071136371497985
2018-05-01,5,3.57,2018,251.588,4.451202501709143
2018-06-01,6,3.54,2018,251.989,4.406773589323343
2018-07-01,7,3.41,2018,252.006,4.244656562409889
2018-08-01,8,3.27,2018,252.146,4.068129119637036
2018-09-01,9,3.29,2018,252.439,4.088259982279547
2018-10-01,10,3.4,2018,252.885,4.217498204058498
2018-11-01,11,3.4,2018,252.038,4.231671546883141
2018-12-01,12,3.52,2018,251.233,4.3950623259417885
2019-01-01,1,3.52,2019,251.712,4.386698660903467
2019-02-01,2,3.54,2019,252.776,4.39305341488116
2019-03-01,3,3.57,2019,254.202,4.405430071360572
2019-04-01,4,3.51,2019,255.548,4.308575316574577
2019-05-01,5,3.59,2019,256.092,4.397415427528649
2019-06-01,6,3.95,2019,256.143,4.837418518822169
2019-07-01,7,4.11,2019,256.571,5.0249681569624
2019-08-01,8,3.91,2019,256.558,4.780686388003233
2019-09-01,9,3.72,2019,256.759,4.54481618950066
2019-10-01,10,3.79,2019,257.346,4.619775237747365
2019-11-01,11,3.64,2019,257.208,4.439315080920241
2019-12-01,12,3.7,2019,256.974,4.516599668967808
2020-01-01,1,3.78,2020,257.971,4.596422814967574
2020-02-01,2,3.74,2020,258.678,4.535353747387357
2020-03-01,3,3.64,2020,258.115,4.423715604801477
2020-04-01,4,3.28,2020,256.389,4.01304023703565
2020-05-01,5,3.12,2020,256.394,3.8172077349703972
2020-06-01,6,3.11,2020,257.797,3.7842654168460705
2020-07-01,7,3.14,2020,259.101,3.801540467488225
2020-08-01,8,3.08,2020,259.918,3.7171785204051533
2020-09-01,9,3.39,2020,260.28,4.085619890118334
2020-10-01,10,3.61,2020,260.388,4.34895881658653
2020-11-01,11,3.82,2020,260.229,4.60475713057858
2020-12-01,12,4.05,2020,260.474,4.877414924330259
2021-01-01,1,4.4,2021,261.582,5.276474935839113
2021-02-01,2,4.87,2021,263.014,5.808301528942692
2021-03-01,3,4.89,2021,264.877,5.791134734235135
2021-04-01,4,5.35,2021,267.054,6.284254339322135
2021-05-01,5,6.03,2021,269.195,7.0266671557792675
2021-06-01,6,6.19,2021,271.696,7.146714998871287
2021-07-01,7,6.22,2021,273.003,7.14697107113597
2021-08-01,8,6.38,2021,273.567,7.315702393441704
2021-09-01,9,5.63,2021,274.31,6.43822001263777
2021-10-01,10,5.02,2021,276.589,5.693349856043925
2021-11-01,11,5.23,2021,277.948,5.902516292016253
2021-12-01,12,5.54,2021,278.802,6.233226937635549
2022-01-01,1,5.7,2022,281.148,6.359733485566321
2022-02-01,2,6.11,2022,283.716,6.755483552801628
2022-03-01,3,6.59,2022,287.504,7.190193568321368
2022-04-01,4,7.12,2022,289.109,7.725337133514811
2022-05-01,5,7.34,2022,292.296,7.87720679265767
2022-06-01,6,7.48,2022,296.311,7.918681632923967
2022-07-01,7,7.44,2022,296.276,7.877266197734545
2022-08-01,8,7.4,2022,296.171,7.837692976917614
2022-09-01,9,7.42,2022,296.808,7.842009458415316
2022-10-01,10,6.53,2022,298.012,6.873508723362369
2022-11-01,11,6.5,2022,297.711,6.8488480998910575
2022-12-01,12,6.69,2022,296.797,7.070753056803135
2023-01-01,1,6.74,2023,299.17,7.067094751033414
2023-02-01,2,6.83,2023,300.84,7.121708322253247
2023-03-01,3,6.7,2023,301.836,6.963103086886035
2023-04-01,4,6.75,2023,303.363,6.979755688729344
2023-05-01,5,6.57,2023,304.127,6.776562538018656
2023-06-01,6,6.57,2023,305.109,6.754752023047501
2023-07-01,7,6.33,2023,305.691,6.495612612082136
2023-08-01,8,5.77,2023,307.026,5.895215937195329
2023-09-01,9,5.22,2023,307.789,5.320059228887322
2023-10-01,10,4.96,2023,307.671,5.0570141915660995
2023-11-01,11,4.74,2023,307.051,4.842469394335144
2023-12-01,12,4.89,2023,306.746,5.000679373162161
2024-01-01,1,4.84,2024,308.417,4.922731085943165
2024-02-01,2,4.39,2024,310.326,4.437572031777334
2024-03-01,3,4.43,2024,312.332,4.449244815346063
2024-04-01,4,4.5,2024,313.548,4.5020212216311375
2024-05-01,5,4.63,2024,314.069,4.624395589291949
2024-06-01,6,4.6,2024,314.175,4.592881780324129
2024-07-01,7,4.32,2024,314.54,4.308309785718827
2024-08-01,8,4.02,2024,314.796,4.0058612879452085
2024-09-01,9,4.09,2024,315.301,4.069087406425394
2024-10-01,10,4.01,2024,315.664,3.9849087056701635
2024-11-01,11,4.12,2024,315.493,4.096439519524469
2024-12-01,12,4.27,2024,315.605,4.24407508858647
